dates,hours,soil-moisture,soil-temperature
2023-01-07,10,19.164,9.732
2023-01-07,11,19.14,9.795
2023-01-07,12,19.116,9.858
2023-01-07,13,19.092,9.921
2023-01-07,14,19.068,9.984
2023-01-07,15,19.044,10.046999999999999
2023-01-07,16,19.02,10.11
2023-01-07,17,18.953333333333333,10.62
2023-01-07,18,18.911666666666665,10.9125
2023-01-07,19,18.869999999999997,11.205
2023-01-07,20,18.813333333333333,11.613333333333335
2023-01-07,21,18.77,11.61
2023-01-07,22,18.768333333333334,11.37
2023-01-07,23,18.766666666666666,11.13
2023-01-08,00,18.765,10.89
2023-01-08,01,18.76,10.84
2023-01-08,02,18.753333333333334,10.795
2023-01-08,03,18.746666666666666,10.75
2023-01-08,04,18.740000000000002,10.705
2023-01-08,05,18.733333333333334,10.66
2023-01-08,06,18.726666666666667,10.615
2023-01-08,07,18.72,10.57
2023-01-08,08,18.715,10.52
2023-01-08,09,18.71,10.47
2023-01-08,10,18.702,10.442
2023-01-08,11,18.694000000000003,10.414
2023-01-08,12,18.686,10.386000000000001
2023-01-08,13,18.678,10.358
2023-01-08,14,18.67,10.33
2023-01-08,15,18.55,10.94
2023-01-08,16,18.52,11.183333333333334
2023-01-08,17,18.490000000000002,11.426666666666666
2023-01-08,18,18.46,11.67
2023-01-08,19,18.435000000000002,11.865
2023-01-08,20,18.41,12.06
2023-01-08,21,18.5025,11.793333333333333
2023-01-08,22,18.595,11.526666666666667
2023-01-08,23,18.6875,11.26
2023-01-10,00,18.78,10.993333333333334
2023-01-10,01,18.8725,10.726666666666667
2023-01-10,02,18.965,10.46
2023-01-10,03,19.0575,10.193333333333333
2023-01-10,04,19.15,9.926666666666666
2023-01-10,05,19.2425,9.66
2023-01-10,06,19.335,9.393333333333333
2023-01-10,07,19.4275,9.126666666666665
2023-01-10,08,19.52,8.86
2023-01-10,09,19.486875,8.913124999999999
2023-01-10,10,19.45375,8.966249999999999
2023-01-10,11,19.420625,9.019375
2023-01-10,12,19.387500000000003,9.0725
2023-01-10,13,19.354375,9.125625
2023-01-10,14,19.321250000000003,9.17875
2023-01-10,15,19.288125,9.231875
2023-01-10,16,19.255000000000003,9.285
2023-01-10,17,19.189999999999998,10.120000000000001
2023-01-10,18,19.125,10.3475
2023-01-10,19,19.060000000000002,10.575
2023-01-10,20,19.0,11.09
2023-01-10,21,18.9775,10.865
2023-01-10,22,18.955,10.64
2023-01-10,23,18.9325,10.415
2023-01-11,00,18.91,10.19
2023-01-11,01,18.92,9.93
2023-01-11,02,18.91,9.725
2023-01-11,03,18.9,9.52
2023-01-11,04,18.895999999999997,9.386
2023-01-11,05,18.892,9.251999999999999
2023-01-11,06,18.887999999999998,9.118
2023-01-11,07,18.884,8.984
2023-01-11,08,18.88,8.85
2023-01-11,09,18.85,8.73
2023-01-11,10,18.85,8.67
2023-01-11,11,18.84,8.66
2023-01-11,12,18.830000000000002,8.65
2023-01-11,13,18.82,8.64
2023-01-11,14,18.776,9.098
2023-01-11,15,18.732,9.556000000000001
2023-01-11,16,18.688000000000002,10.014
2023-01-11,17,18.644000000000002,10.472
2023-01-11,18,18.6,10.93
2023-01-11,19,18.545,11.23
2023-01-11,20,18.49,11.67
2023-01-11,21,18.475,11.754999999999999
2023-01-11,22,18.464166666666667,11.714166666666666
2023-01-11,23,18.453333333333333,11.673333333333332
2023-01-12,00,18.442500000000003,11.6325
2023-01-12,01,18.43166666666667,11.591666666666667
2023-01-12,02,18.420833333333334,11.550833333333333
2023-01-12,03,18.41,11.51
2023-01-12,04,18.4,11.41
2023-01-12,05,18.39,11.309999999999999
2023-01-12,06,18.39,11.239999999999998
2023-01-12,07,18.39,11.17
2023-01-12,08,18.38,11.228
2023-01-12,09,18.37,11.286
2023-01-12,10,18.36,11.344000000000001
2023-01-12,11,18.35,11.402000000000001
2023-01-12,12,18.34,11.46
2023-01-12,13,18.33,11.54
2023-01-12,14,18.299999999999997,11.915
2023-01-12,15,18.27,12.29
2023-01-12,16,18.229999999999997,12.615
2023-01-12,17,18.19,12.93
2023-01-12,18,18.155,13.280000000000001
2023-01-12,19,18.125,13.379999999999999
2023-01-12,20,18.11,13.425
2023-01-12,21,18.20777777777778,13.278518518518519
2023-01-12,22,18.305555555555554,13.132037037037037
2023-01-12,23,18.403333333333332,12.985555555555557
2023-01-13,00,18.50111111111111,12.839074074074075
2023-01-13,01,18.59888888888889,12.692592592592593
2023-01-13,02,18.696666666666665,12.546111111111111
2023-01-13,03,18.794444444444444,12.39962962962963
2023-01-13,04,18.892222222222223,12.25314814814815
2023-01-13,05,18.99,12.106666666666667
2023-01-13,06,19.087777777777777,11.960185185185185
2023-01-13,07,19.185555555555556,11.813703703703704
2023-01-13,08,19.28333333333333,11.667222222222223
2023-01-13,09,19.38111111111111,11.520740740740742
2023-01-13,10,19.47888888888889,11.37425925925926
2023-01-13,11,19.576666666666668,11.227777777777778
2023-01-13,12,19.674444444444443,11.081296296296298
